starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 28 21:24:49 2020	1588101889	10	23	33	15
Tue Apr 28 21:24:49 2020	1588101889	10	23	33	15
Tue Apr 28 21:24:49 2020	1588101889	10	23	33	15
Tue Apr 28 21:24:49 2020	1588101889	10	23	33	15
Tue Apr 28 21:24:49 2020	1588101889	10	23	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	23	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	23	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	19
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	14
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	14
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	14
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	19
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	15
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	19
Tue Apr 28 21:24:49 2020	1588101889	9	25	33	14
Tue Apr 28 21:24:49 2020	1588101889	8	25	33	14
Tue Apr 28 21:24:49 2020	1588101889	8	25	33	14
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	19
Tue Apr 28 21:24:49 2020	1588101889	8	25	33	14
Tue Apr 28 21:24:49 2020	1588101889	9	24	33	19
Tue Apr 28 21:24:49 2020	1588101889	8	25	33	14
Tue Apr 28 21:24:49 2020	1588101889	8	25	33	14
Tue Apr 28 21:24:49 2020	1588101889	8	25	33	14
Tue Apr 28 21:24:49 2020	1588101889	8	25	33	14
Tue Apr 28 21:24:49 2020	1588101889	8	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	8	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	8	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	8	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	9	25	34	19
Tue Apr 28 21:24:49 2020	1588101889	8	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	8	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	8	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	8	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	9	25	34	19
Tue Apr 28 21:24:49 2020	1588101889	7	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	7	26	34	15
Tue Apr 28 21:24:49 2020	1588101889	7	27	34	15
Tue Apr 28 21:24:49 2020	1588101889	7	27	34	15
Tue Apr 28 21:24:49 2020	1588101889	7	27	34	15
Tue Apr 28 21:24:49 2020	1588101889	9	25	34	19
Tue Apr 28 21:24:49 2020	1588101889	7	27	34	15
Tue Apr 28 21:24:49 2020	1588101889	7	27	34	15
Tue Apr 28 21:24:49 2020	1588101889	7	27	34	15
Tue Apr 28 21:24:49 2020	1588101889	7	27	34	15
Tue Apr 28 21:24:49 2020	1588101889	9	25	34	19
Tue Apr 28 21:24:49 2020	1588101889	7	27	34	15
Tue Apr 28 21:24:49 2020	1588101889	7	28	34	15
Tue Apr 28 21:24:49 2020	1588101889	7	28	34	16
Tue Apr 28 21:24:49 2020	1588101889	7	28	34	16
Tue Apr 28 21:24:49 2020	1588101889	7	28	34	16
Tue Apr 28 21:24:49 2020	1588101889	9	25	34	19
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	19
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	18
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	18
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	17
Tue Apr 28 21:24:48 2020	1588101888	0	35	35	1
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	17
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	17
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	17
Tue Apr 28 21:24:49 2020	1588101889	10	26	35	18
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	17
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	17
Tue Apr 28 21:24:49 2020	1588101889	9	26	35	17
Tue Apr 28 21:24:49 2020	1588101889	10	26	35	17
Tue Apr 28 21:24:49 2020	1588101889	10	26	35	18
Tue Apr 28 21:24:49 2020	1588101889	10	26	35	17
Tue Apr 28 21:24:49 2020	1588101889	9	27	36	19
Tue Apr 28 21:24:49 2020	1588101889	9	27	36	19
Tue Apr 28 21:24:49 2020	1588101889	9	27	36	19
Tue Apr 28 21:24:49 2020	1588101889	9	27	36	18
Tue Apr 28 21:24:49 2020	1588101889	9	27	36	18
Tue Apr 28 21:24:49 2020	1588101889	9	27	37	17
Tue Apr 28 21:24:49 2020	1588101889	9	27	37	17
Tue Apr 28 21:24:49 2020	1588101889	9	28	37	17
Tue Apr 28 21:24:49 2020	1588101889	9	28	38	17
Tue Apr 28 21:24:49 2020	1588101889	9	29	38	17
Tue Apr 28 21:24:49 2020	1588101889	9	29	38	17
Tue Apr 28 21:24:49 2020	1588101889	9	29	38	17
Tue Apr 28 21:24:49 2020	1588101889	9	29	38	18
Tue Apr 28 21:24:49 2020	1588101889	9	30	39	17
Tue Apr 28 21:24:49 2020	1588101889	9	30	39	17
Tue Apr 28 21:24:49 2020	1588101889	9	30	39	17
Tue Apr 28 21:24:49 2020	1588101889	9	30	39	17
Tue Apr 28 21:24:49 2020	1588101889	9	31	39	17
Tue Apr 28 21:24:49 2020	1588101889	9	31	39	17
Tue Apr 28 21:24:49 2020	1588101889	8	31	40	17
Tue Apr 28 21:24:49 2020	1588101889	8	31	40	17
Tue Apr 28 21:24:49 2020	1588101889	8	32	40	17
Tue Apr 28 21:24:49 2020	1588101889	8	32	40	17
Tue Apr 28 21:24:49 2020	1588101889	8	32	40	17
Tue Apr 28 21:24:49 2020	1588101889	8	32	41	17
Tue Apr 28 21:24:49 2020	1588101889	8	33	41	16
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	8	33	41	16
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	8	33	41	16
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	41	19
Tue Apr 28 21:24:49 2020	1588101889	17	24	42	19
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	19
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	19
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	19
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	19
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	21	21	42	16
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	16	26	42	17
Tue Apr 28 21:24:49 2020	1588101889	21	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	16
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	42	17
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	17	25	42	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	43	17
Tue Apr 28 21:24:49 2020	1588101889	17	25	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	25	43	18
Tue Apr 28 21:24:49 2020	1588101889	22	20	43	17
Tue Apr 28 21:24:49 2020	1588101889	23	20	43	17
Tue Apr 28 21:24:49 2020	1588101889	23	20	43	17
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	19
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	19	24	43	20
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	18
Tue Apr 28 21:24:49 2020	1588101889	19	24	43	19
Tue Apr 28 21:24:49 2020	1588101889	19	24	43	19
Tue Apr 28 21:24:49 2020	1588101889	17	26	43	19
Tue Apr 28 21:24:49 2020	1588101889	17	26	44	19
Tue Apr 28 21:24:49 2020	1588101889	18	26	44	19
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	20	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	24	20	44	17
Tue Apr 28 21:24:49 2020	1588101889	24	20	44	17
Tue Apr 28 21:24:49 2020	1588101889	24	20	44	17
Tue Apr 28 21:24:49 2020	1588101889	17	27	44	18
Tue Apr 28 21:24:49 2020	1588101889	24	20	44	17
Tue Apr 28 21:24:49 2020	1588101889	19	25	44	19
Tue Apr 28 21:24:49 2020	1588101889	24	20	44	17
Tue Apr 28 21:24:49 2020	1588101889	20	24	44	17
Tue Apr 28 21:24:49 2020	1588101889	20	25	44	17
Tue Apr 28 21:24:49 2020	1588101889	24	21	44	17
Tue Apr 28 21:24:49 2020	1588101889	23	22	45	9
Tue Apr 28 21:24:49 2020	1588101889	24	21	45	17
Tue Apr 28 21:24:49 2020	1588101889	24	21	45	17
Tue Apr 28 21:24:49 2020	1588101889	23	22	45	9
Tue Apr 28 21:24:49 2020	1588101889	24	21	45	17
Tue Apr 28 21:24:49 2020	1588101889	23	22	45	9
Tue Apr 28 21:24:49 2020	1588101889	24	21	45	17
Tue Apr 28 21:24:49 2020	1588101889	23	22	45	9
Tue Apr 28 21:24:49 2020	1588101889	24	21	45	18
Tue Apr 28 21:24:49 2020	1588101889	24	21	45	18
Tue Apr 28 21:24:49 2020	1588101889	23	22	45	9
Tue Apr 28 21:24:49 2020	1588101889	23	22	45	9
Tue Apr 28 21:24:49 2020	1588101889	23	22	45	9
Tue Apr 28 21:24:49 2020	1588101889	24	21	45	18
Tue Apr 28 21:24:49 2020	1588101889	24	21	45	18
Tue Apr 28 21:24:49 2020	1588101889	23	22	45	9
Tue Apr 28 21:24:49 2020	1588101889	24	21	45	18
Tue Apr 28 21:24:49 2020	1588101889	23	23	45	9
Tue Apr 28 21:24:49 2020	1588101889	19	26	45	19
Tue Apr 28 21:24:49 2020	1588101889	25	21	45	18
Tue Apr 28 21:24:49 2020	1588101889	17	28	45	18
Tue Apr 28 21:24:49 2020	1588101889	19	26	45	19
Tue Apr 28 21:24:49 2020	1588101889	25	21	45	18
Tue Apr 28 21:24:49 2020	1588101889	23	23	45	9
Tue Apr 28 21:24:49 2020	1588101889	23	23	45	9
Tue Apr 28 21:24:49 2020	1588101889	25	21	45	18
Tue Apr 28 21:24:48 2020	1588101888	25	21	45	11
Tue Apr 28 21:24:49 2020	1588101889	19	26	46	19
Tue Apr 28 21:24:49 2020	1588101889	25	21	46	18
Tue Apr 28 21:24:49 2020	1588101889	23	23	46	9
Tue Apr 28 21:24:49 2020	1588101889	25	21	46	18
Tue Apr 28 21:24:49 2020	1588101889	19	27	46	19
Tue Apr 28 21:24:49 2020	1588101889	25	21	46	18
Tue Apr 28 21:24:49 2020	1588101889	19	27	46	19
Tue Apr 28 21:24:49 2020	1588101889	25	21	46	18
Tue Apr 28 21:24:49 2020	1588101889	19	27	46	19
Tue Apr 28 21:24:48 2020	1588101888	25	21	46	11
Tue Apr 28 21:24:49 2020	1588101889	25	21	46	18
Tue Apr 28 21:24:48 2020	1588101888	25	21	46	11
Tue Apr 28 21:24:48 2020	1588101888	25	21	46	11
Tue Apr 28 21:24:49 2020	1588101889	19	27	46	19
Tue Apr 28 21:24:48 2020	1588101888	25	21	46	11
Tue Apr 28 21:24:49 2020	1588101889	25	21	46	18
